Nome,Saldo Atual,Divida Atual
Cliente1,0,2967
Cliente2,1940,0
Cliente3,0,1043
Cliente4,0,154
Cliente5,0,4538
Cliente6,1459,0
Cliente7,0,1368
Cliente8,0,2164
Cliente9,0,3038
Cliente10,2793,0
Cliente11,3164,0
Cliente12,3603,0
Cliente13,0,1460
Cliente14,2415,0
Cliente15,2530,0
Cliente16,955,0
Cliente17,1977,0
Cliente18,0,718
Cliente19,0,1868
Cliente20,0,1704
Cliente21,1398,0
Cliente22,1703,0
Cliente23,0,4550
Cliente24,0,1079
Cliente25,0,3256
Cliente26,0,668
Cliente27,0,186
Cliente28,0,744
Cliente29,0,2934
Cliente30,0,423
Cliente31,941,0
Cliente32,900,0
Cliente33,983,0
Cliente34,215,0
Cliente35,3631,0
Cliente36,0,2321
Cliente37,0,3552
Cliente38,11,0
Cliente39,1867,0
Cliente40,0,628
Cliente41,407,0
Cliente42,2297,0
Cliente43,1565,0
Cliente44,0,1327
Cliente45,0,402
Cliente46,0,2176
Cliente47,0,2722
Cliente48,273,0
Cliente49,3142,0
Cliente50,0,2637
Cliente51,0,5040
Cliente52,0,1901
Cliente53,0,4212
Cliente54,1587,0
Cliente55,0,4230
Cliente56,0,260
Cliente57,777,0
Cliente58,1432,0
Cliente59,0,1238
Cliente60,1149,0
Cliente61,1818,0
Cliente62,397,0
Cliente63,3483,0
Cliente64,672,0
Cliente65,0,4114
Cliente66,0,1209
Cliente67,3543,0
Cliente68,0,303
Cliente69,0,346
Cliente70,0,1980
Cliente71,550,0
Cliente72,0,1312
Cliente73,0,3839
Cliente74,2607,0
Cliente75,0,1489
Cliente76,0,3522
Cliente77,382,0
Cliente78,0,780
Cliente79,1568,0
Cliente80,1705,0
Cliente81,790,0
Cliente82,1766,0
Cliente83,0,241
Cliente84,0,2294
Cliente85,1456,0
Cliente86,1244,0
Cliente87,551,0
Cliente88,0,1019
Cliente89,0,2482
Cliente90,0,1237
Cliente91,0,2695
Cliente92,0,163
Cliente93,3337,0
Cliente94,0,813
Cliente95,0,863
Cliente96,3404,0
Cliente97,0,3699
Cliente98,519,0
Cliente99,667,0
Cliente100,0,2990
Cliente101,0,1100
Cliente102,92,0
Cliente103,790,0
Cliente104,3446,0
Cliente105,0,2085
Cliente106,500,0
Cliente107,0,887
Cliente108,448,0
Cliente109,2086,0
Cliente110,937,0
Cliente111,0,4637
Cliente112,0,2137
Cliente113,0,138
Cliente114,984,0
Cliente115,354,0
Cliente116,1766,0
Cliente117,0,1314
Cliente118,0,1329
Cliente119,422,0
Cliente120,366,0
Cliente121,0,3867
Cliente122,0,3417
Cliente123,0,338
Cliente124,3640,0
Cliente125,1198,0
Cliente126,1602,0
Cliente127,0,4642
Cliente128,0,2347
Cliente129,1344,0
Cliente130,0,1905
Cliente131,3679,0
Cliente132,0,5182
Cliente133,9,0
Cliente134,0,4887
Cliente135,2374,0
Cliente136,0,2160
Cliente137,1028,0
Cliente138,0,2455
Cliente139,4074,0
Cliente140,0,2346
Cliente141,0,5285
Cliente142,0,762
Cliente143,0,310
Cliente144,2807,0
Cliente145,479,0
Cliente146,0,743
Cliente147,0,347
Cliente148,2715,0
Cliente149,0,1996
Cliente150,1284,0
Cliente151,0,2660
Cliente152,2017,0
Cliente153,1528,0
Cliente154,0,1310
Cliente155,0,3438
Cliente156,0,1315
Cliente157,2648,0
Cliente158,0,2807
Cliente159,1481,0
Cliente160,0,91
Cliente161,150,0
Cliente162,0,553
Cliente163,1699,0
Cliente164,0,737
Cliente165,1825,0
Cliente166,99,0
Cliente167,0,138
Cliente168,0,728
Cliente169,2990,0
Cliente170,2723,0
Cliente171,0,320
Cliente172,0,2410
Cliente173,0,2252
Cliente174,3056,0
Cliente175,2497,0
Cliente176,1426,0
Cliente177,0,1017
Cliente178,3534,0
Cliente179,674,0
Cliente180,2520,0
Cliente181,3994,0
Cliente182,1805,0
Cliente183,0,605
Cliente184,0,483
Cliente185,1837,0
Cliente186,0,2031
Cliente187,0,2090
Cliente188,1500,0
Cliente189,0,3370
Cliente190,0,1686
Cliente191,1774,0
Cliente192,0,533
Cliente193,0,1934
Cliente194,809,0
Cliente195,0,800
Cliente196,0,3562
Cliente197,1343,0
Cliente198,0,1905
Cliente199,493,0
Cliente200,0,2003
